,word
0,hers
1,hadn't
2,such
3,theirs
4,having
5,did
6,after
7,this
8,myself
9,wouldn't
10,where
11,haven
12,aren't
13,for
14,can
15,an
16,itself
17,during
18,it
19,didn
20,no
21,isn't
22,ma
23,wasn
24,then
25,only
26,the
27,ain
28,ourselves
29,on
30,above
31,being
32,any
33,from
34,how
35,because
36,do
37,re
38,had
39,shan't
40,won
41,while
42,both
43,have
44,wouldn
45,that
46,will
47,mightn't
48,doesn't
49,there
50,few
51,over
52,which
53,here
54,them
55,if
56,we
57,haven't
58,you'd
59,not
60,y
61,up
62,hadn
63,who
64,off
65,weren't
66,why
67,that'll
68,themselves
69,very
70,ve
71,shan
72,ours
73,o
74,aren
75,against
76,it's
77,hasn
78,s
79,you're
80,don
81,mustn
82,of
83,down
84,m
85,yourself
86,should
87,wasn't
88,under
89,some
90,doing
91,same
92,were
93,to
94,my
95,and
96,doesn
97,but
98,herself
99,their
100,these
101,be
102,a
103,once
104,has
105,between
106,whom
107,so
108,its
109,most
110,isn
111,don't
112,by
113,t
114,his
115,she's
116,are
117,before
118,didn't
119,he
120,as
121,when
122,am
123,just
124,should've
125,those
126,nor
127,now
128,hasn't
129,was
130,again
131,below
132,you
133,what
134,is
135,her
136,yours
137,in
138,they
139,i
140,out
141,each
142,more
143,about
144,does
145,couldn
146,until
147,needn
148,than
149,yourselves
150,own
151,couldn't
152,further
153,other
154,or
155,shouldn
156,you've
157,weren
158,you'll
159,with
160,through
161,himself
162,our
163,shouldn't
164,needn't
165,mightn
166,ll
167,won't
168,too
169,me
170,all
171,mustn't
172,d
173,at
174,she
175,your
176,him
177,been
178,into
